Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),Unit (Unit),2010,2011,2012,2013,2014,2015,2016,2017
Greenland,Roundnose grenadier,"Atlantic, Northeast",Tonnes - live weight,-,-,9,43,19,42,15,28
Lithuania,"Needlefishes, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Ukraine,Tadpole codling,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Ireland,Long-finned pilot whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Japan,Killer whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Namibia,"Octopuses, etc. nei","Atlantic, Southeast",Tonnes - live weight,...,...,...,...,...,...,...,...
New Caledonia,Marine molluscs nei,"Pacific, Western Central",Tonnes - live weight,17,14,16,9,8,9,10,11
New Zealand,"Octopuses, etc. nei","Pacific, Southwest",Tonnes - live weight,111,103,107,118,98,100,109,133
Puerto Rico,Yellowfin grouper,"Atlantic, Western Central",Tonnes - live weight,1,0 0,0 0,0 0,0 0,0 0,0 0,...
United States of America,Kelp greenling,"Pacific, Northeast",Tonnes - live weight,20,23,24,27,20,19,13,14
Chile,Chilean grenadier,"Pacific, Southeast",Tonnes - live weight,156,134,136,91,54,59,47,25
Japan,Short-finned pilot whale,Marine areas outside the Antarctic,Number,44,120,213,145,62,109,67,81
New Zealand,Wellington flying squid,"Pacific, Southwest",Tonnes - live weight,32557,36979,35301,24637,14999,16299,43321,18700
Russian Federation,"Grenadiers, rattails nei","Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
France,European conger,"Atlantic, Northeast",Tonnes - live weight,4943,4620,4099,4450,4340,4291,4547,4421
Bahrain,Pink ear emperor,"Indian Ocean, Western",Tonnes - live weight,149,63,158,126,68,64 F,64 F,64 F
Ecuador,Pacific cornetfish,"Pacific, Southeast",Tonnes - live weight,6443,4513,4323,4854,2534,7630,19559,4602
Germany,Deep-sea red crab,"Atlantic, Northeast",Tonnes - live weight,440,443,148,178,194,290,221,175
Italy,Long-finned pilot whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Japan,Striped dolphin,Marine areas outside the Antarctic,Number,558,502,602,565,431,375,636,317
Nicaragua,"Octopuses, etc. nei","Pacific, Eastern Central",Tonnes - live weight,2,3,19,27,9,26,26,11
Russian Federation,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,"Grenadiers, rattails nei","Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Brazil,Manduba,"America, South - Inland waters",Tonnes - live weight,...,2116,2132,2150,2123,2030 F,2030 F,2030 F
Uruguay,Tadpole codling,"Atlantic, Southwest",Tonnes - live weight,...,...,...,91,...,...,22,-
Brazil,Piranhas nei,"America, South - Inland waters",Tonnes - live weight,11042,3438,3465,3494,3450,3300 F,3300 F,3300 F
Comoros,Smalltooth emperor,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,30
"Korea, Republic of",Baleen whales nei,Marine areas outside the Antarctic,Number,-,1,-,-,-,1,-,-
Morocco,"Cuttlefish, bobtail squids nei",Mediterranean and Black Sea,Tonnes - live weight,196,155,209,215,197,205,175,178
Senegal,Law croaker,"Atlantic, Eastern Central",Tonnes - live weight,...,...,680,...,...,...,...,439
Spain,Tiger shark,"Atlantic, Northeast",Tonnes - live weight,0 0,-,-,0 0,-,0 0,0 0,-
Comoros,Sky emperor,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,10
Ireland,European flying squid,"Atlantic, Northeast",Tonnes - live weight,1,0 0,1,-,1,0 0,0 0,6
Malaysia,"Cuttlefish, bobtail squids nei","Indian Ocean, Eastern",Tonnes - live weight,10455,11649,13562,11437,12276,10545,10708,12380
Mauritania,Marine molluscs nei,"Atlantic, Eastern Central",Tonnes - live weight,0 0,4,68,1,2,-,43,-
Morocco,"Octopuses, etc. nei",Mediterranean and Black Sea,Tonnes - live weight,1869,1897,32,3479,3817,3240,2802,3848
Comoros,Spangled emperor,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,10
Latvia,Sea lamprey,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,0 0
New Zealand,"Octopuses, etc. nei","Pacific, Antarctic",Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0.01
Poland,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Poland,"Grenadiers, rattails nei","Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Sierra Leone,Law croaker,"Atlantic, Eastern Central",Tonnes - live weight,2470 F,2510 F,2550 F,2600 F,2646,2590 F,2590 F,2590 F
Palestine,Spinefeet(=Rabbitfishes) nei,Mediterranean and Black Sea,Tonnes - live weight,13,33,10,4,14,20,84,71
United States of America,Blue rockfish,"Pacific, Northeast",Tonnes - live weight,6,13,10,10,10,11,7,14
Zanzibar,Spinefeet(=Rabbitfishes) nei,"Indian Ocean, Western",Tonnes - live weight,1023,1573,867,954,1090,1114,1243,1252
Georgia,Blue grenadier,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Malaysia,"Octopuses, etc. nei","Indian Ocean, Eastern",Tonnes - live weight,971,1026,1115,848,720,504,642,388
Mexico,"Octopuses, etc. nei","Pacific, Eastern Central",Tonnes - live weight,2134,1275,1411,1672,1901,1742,1987,1934
Portugal,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,...,...,...,...,...,...,...,...
Uruguay,Argentine shortfin squid,"Atlantic, Southwest",Tonnes - live weight,2375,1468,1431,1261,2356,1199,1096,417
Mauritius,"Octopuses, etc. nei","Indian Ocean, Western",Tonnes - live weight,93,465,631,606,530,538,642,669
Colombia,Trahira,"America, South - Inland waters",Tonnes - live weight,...,...,...,...,...,...,51,686
Germany,Roundnose grenadier,"Atlantic, Northwest",Tonnes - live weight,3,2,2,3,3,2,4,5
Germany,Roughhead grenadier,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Iceland,European flying squid,"Atlantic, Northeast",Tonnes - live weight,2,-,-,14,57,120,21,-
Kenya,"Needlefishes, etc. nei","Indian Ocean, Western",Tonnes - live weight,...,...,...,...,...,...,...,1498
"Korea, Republic of",Short-finned pilot whale,Marine areas outside the Antarctic,Number,-,-,1,-,-,-,1,-
Netherlands,Beaked redfish,"Atlantic, Northeast",Tonnes - live weight,...,...,...,...,...,4,-,-
United Kingdom,Argentine shortfin squid,"Atlantic, Southwest",Tonnes - live weight,-,66,373,-,488,1770,7,295
United States of America,Pacific angelshark,"Pacific, Eastern Central",Tonnes - live weight,9,10,10,10,8,14,19,19
Germany,Roundnose grenadier,"Atlantic, Northeast",Tonnes - live weight,33,34,32,25,30,33,29,31
Germany,North Pacific hake,"Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Germany,Roughhead grenadier,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Croatia,European conger,Mediterranean and Black Sea,Tonnes - live weight,45,47,41,50,47,45,41,35
"Korea, Republic of",Killer whale,Marine areas outside the Antarctic,Number,-,-,-,1,1,-,-,1
Malaysia,"Cuttlefish, bobtail squids nei","Pacific, Western Central",Tonnes - live weight,12858,11918,12263,11813,12257,10139,9689,12680
Morocco,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,30137,30757,18379,54508,45420,61723,52517,49121
United States of America,Atlantic searobins,"Atlantic, Northwest",Tonnes - live weight,55,45,66,84,71,58,100,68
Montenegro,Marine crustaceans nei,Mediterranean and Black Sea,Tonnes - live weight,27,22,25,22,31,28,28,1
Italy,European flying squid,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,63,39,1005
Malta,Horned and musky octopuses,Mediterranean and Black Sea,Tonnes - live weight,...,3,5,1,1,-,0 0,0 0
Portugal,Common eagle ray,"Atlantic, Northeast",Tonnes - live weight,18,25,12,13,18,15,18,23
Un. Sov. Soc. Rep.,Atlantic searobins,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Brazil,Tripletail,"Atlantic, Southwest",Tonnes - live weight,19,18,19,17,20,19 F,19 F,19 F
Brazil,S.Am. freshwater stingrays nei,"America, South - Inland waters",Tonnes - live weight,...,743,749,755,746,715 F,715 F,715 F
Comoros,Brownspotted grouper,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,21
Malaysia,"Octopuses, etc. nei","Pacific, Western Central",Tonnes - live weight,965,1066,918,988,1198,691,410,384
Mexico,Common octopus,"Atlantic, Western Central",Tonnes - live weight,15325,16281,16919,14369,18332,12826,11176,14237
Morocco,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,18779,20098,25273,26529,18982,28525,28862,26710
France,Roundnose grenadier,"Atlantic, Northeast",Tonnes - live weight,3092,1349,1187,1003,699,403,435,115
Côte d'Ivoire,"Needlefishes, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Morocco,Marine molluscs nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,828,568
Norway,Beaked redfish,"Atlantic, Northeast",Tonnes - live weight,6486,4287,5059,4724,15362,21224,19441,17930
France,Roughhead grenadier,"Atlantic, Northeast",Tonnes - live weight,1,1,5,5,16,12,6,4
Indonesia,Needlefishes nei,"Indian Ocean, Eastern",Tonnes - live weight,3243,3372,2070,2584,2914,3610,3713,7463
"Micronesia, Fed.States of","Octopuses, etc. nei","Pacific, Western Central",Tonnes - live weight,20 F,20 F,20 F,20 F,20 F,20 F,20 F,20 F
Norway,Beaked redfish,"Atlantic, Northwest",Tonnes - live weight,-,2,-,-,-,-,14,10
Spain,Smooth hammerhead,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Suriname,Blacktip shark,"Atlantic, Western Central",Tonnes - live weight,-,-,-,45,46,...,...,...
Uruguay,Argentine angelshark,"Atlantic, Southwest",Tonnes - live weight,282,59,83,212,207,146,103,175
Ireland,Japanese carpet shell,"Atlantic, Northeast",Tonnes - live weight,120,-,-,-,-,-,-,-
Malaysia,Marine molluscs nei,"Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,...
Peru,Kissing prochilodus,"America, South - Inland waters",Tonnes - live weight,...,...,...,...,...,...,...,176
Spain,Smooth hammerhead,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Greece,European conger,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,-,-,-
Panama,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Mauritania,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,15801,16716,25227,24733,20798,33249,30425,39013
Mozambique,Cephalopods nei,"Indian Ocean, Western",Tonnes - live weight,1323,1368,2150,2075,2178,2102,2512,4482
United States of America,Vermilion rockfish,"Pacific, Northeast",Tonnes - live weight,15,20,20,27,28,40,32,50
Indonesia,Needlefishes nei,"Pacific, Western Central",Tonnes - live weight,4568,4255,5511,2682,4715,11427,11451,3724
Malta,"Octopuses, etc. nei",Mediterranean and Black Sea,Tonnes - live weight,52,38,47,28,35,30,35,29
Spain,Smooth hammerhead,"Atlantic, Northeast",Tonnes - live weight,0 0,-,0 0,-,0 0,-,-,-
Japan,Japanese carpet shell,"Pacific, Northwest",Tonnes - live weight,27185,28793,27300,23049,19449,13810,8967,7000
Maldives,Marine molluscs nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,...
Malta,Cephalopods nei,Mediterranean and Black Sea,Tonnes - live weight,...,...,-,2,1,0 0,0 0,0 0
Mauritania,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,2070,2295,3297,4450,2870,7089,4071,3975
New Zealand,Bluenose warehou,"Pacific, Southwest",Tonnes - live weight,2254,1370,1368,1225,1116,1156,895,845
Ireland,Sand gaper,"Atlantic, Northeast",Tonnes - live weight,-,-,-,2,2,1,1,-
Mauritania,Cephalopods nei,"Atlantic, Eastern Central",Tonnes - live weight,16,25,107,9,-,0 0,117,14
Morocco,Marine molluscs nei,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,369,826
Mozambique,"Octopuses, etc. nei","Indian Ocean, Western",Tonnes - live weight,...,...,...,...,...,...,...,...
Poland,Southern rays bream,"Pacific, Southeast",Tonnes - live weight,305,10,-,-,-,-,2,-
Spain,Smooth hammerhead,"Atlantic, Eastern Central",Tonnes - live weight,0 0,-,0 0,-,-,-,-,-
Ukraine,Sandpaper fish,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
"Venezuela, Boliv Rep of",[Potamorhina laticeps],"America, South - Inland waters",Tonnes - live weight,...,...,...,...,...,...,1723,1365 F
Lebanon,Common octopus,Mediterranean and Black Sea,Tonnes - live weight,21 F,20 F,19 F,18 F,17,6,3,4
"Korea, Republic of","Octopuses, etc. nei","Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of",Marine molluscs nei,"Atlantic, Southwest",Tonnes - live weight,60,-,1602,...,627,686,1715,-
Libya,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Lithuania,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
New Zealand,Slimeheads nei,"Pacific, Southwest",Tonnes - live weight,10,12,22,14,26,84,66,94
Uruguay,Pink cusk-eel,"Atlantic, Southwest",Tonnes - live weight,119,221,71,33,59,33,3,39
Taiwan Province of China,Japanese eel,Asia - Inland waters,Tonnes - live weight,-,5,...,...,2,4,-,-
Channel Islands,Sandeels(=Sandlances) nei,"Atlantic, Northeast",Tonnes - live weight,57,57,56,26,28,21,21,11
Un. Sov. Soc. Rep.,Marine fishes nei,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Marine fishes nei,"Pacific, Northeast",Tonnes - live weight,164,1762,804,135,388,753,6560,1002
Uruguay,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Octopuses, etc. nei","Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,-
Japan,"Octopuses, etc. nei","Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Cuttlefish, bobtail squids nei","Pacific, Northwest",Tonnes - live weight,4105,2461,3136,4025,3333,5329,4453,4870
Liberia,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,15 F,14 F,13 F,12 F,11 F,10 F,10 F,52
"China, Macao SAR",Marine molluscs nei,"Pacific, Northwest",Tonnes - live weight,40 F,40 F,40 F,40 F,40 F,40 F,40 F,40 F
Madagascar,Marine molluscs nei,"Indian Ocean, Western",Tonnes - live weight,320 F,300 F,290 F,300 F,222 F,1799,5473,5221
Un. Sov. Soc. Rep.,Marine fishes nei,"Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Mojarras(=Silver-biddies) nei,"Atlantic, Western Central",Tonnes - live weight,247,118,123,144,176,144,205,194
US Virgin Islands,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,29,8,38,35,22,18,21,18
Italy,Stargazer,Mediterranean and Black Sea,Tonnes - live weight,162,152,157,111,146,169,179,62
Ireland,Beaked redfish,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Cuttlefish, bobtail squids nei","Indian Ocean, Western",Tonnes - live weight,1277,1085,810,743,661,-,-,-
Libya,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Lithuania,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,"Conger eels, etc. nei","Atlantic, Southeast",Tonnes - live weight,...,...,...,0 0,...,...,...,0 0
Un. Sov. Soc. Rep.,Marine fishes nei,"Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Ukraine,Marine fishes nei,"Pacific, Southwest",Tonnes - live weight,64691,65018,79051,69890,1232,630,-,-
United States of America,Marine fishes nei,"Pacific, Eastern Central",Tonnes - live weight,8,8,9,7,7,1,7,6
Spain,Common shrimp,"Atlantic, Northeast",Tonnes - live weight,2,2,3,11,6,7,4,4
"Korea, Republic of","Cuttlefish, bobtail squids nei","Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,7,-,-,-
"Korea, Republic of","Octopuses, etc. nei","Pacific, Northwest",Tonnes - live weight,20744,19462,19294,16510,17583,17675,18085,19609
Un. Sov. Soc. Rep.,Marine fishes nei,"Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of",Marine molluscs nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,2,-,-,-
Liberia,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,15 F,13 F,11 F,9 F,7 F,5 F,5 F,51
Mexico,Spinner dolphin,Marine areas outside the Antarctic,Number,...,...,...,...,...,...,...,2
New Zealand,Short-finned pilot whale,"Pacific, Southwest",Number,-,-,-,-,-,-,1,-
"Tanzania, United Rep. of",Oceanic whitetip shark,"Indian Ocean, Western",Tonnes - live weight,12,...,...,...,...,...,...,...
"Venezuela, Boliv Rep of",River and lake turtles nei,"America, South - Inland waters",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Blue grenadier,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
St. Pierre and Miquelon,Roundnose grenadier,"Atlantic, Northwest",Tonnes - live weight,-,36,182,-,-,1,-,-
Honduras,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Cambodia,Cephalopods nei,"Pacific, Western Central",Tonnes - live weight,3956,5504,6700 F,7000 F,9470,5609,5600 F,5600 F
"Korea, Republic of","Octopuses, etc. nei","Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,European conger,"Atlantic, Northeast",Tonnes - live weight,1646,1886,1629,1444,1854,1619,1518,1318
Taiwan Province of China,Oceanic whitetip shark,"Pacific, Eastern Central",Tonnes - live weight,80,122,...,...,...,...,...,-
Un. Sov. Soc. Rep.,Marine fishes nei,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Other nei,Marine crustaceans nei,"Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,-
Qatar,Sordid rubberlip,"Indian Ocean, Western",Tonnes - live weight,...,...,...,...,...,...,...,80
"Korea, Republic of","Octopuses, etc. nei","Pacific, Western Central",Tonnes - live weight,11,1,1,16,3,-,-,-
"Korea, Republic of","Cuttlefish, bobtail squids nei","Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of",Marine molluscs nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Lithuania,"Cuttlefish, bobtail squids nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,Sand gaper,"Atlantic, Northeast",Tonnes - live weight,...,...,...,...,...,...,-,2
Un. Sov. Soc. Rep.,Marine fishes nei,"Indian Ocean, Antarctic",Tonnes - live weight,...,...,...,...,...,...,...,...
United Kingdom,Baird's slickhead,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,0 0,-,-,0 0
"Venezuela, Boliv Rep of",Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,4826 F,6078,4613,4600 F,4202,2681,626,645 F
Ukraine,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Octopuses, etc. nei","Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of",Marine molluscs nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,32,-,-,-
Portugal,European conger,"Atlantic, Eastern Central",Tonnes - live weight,22,23,97,49,63,9,27,14
Spain,Common shrimp,Mediterranean and Black Sea,Tonnes - live weight,34,20,16,17,8,31,32,36
Un. Sov. Soc. Rep.,Marine fishes nei,"Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,4,12,-,-,-,-,-,-
British Virgin Islands,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,770 F,770 F,770 F,770 F,770 F,770 F,770 F,770 F
Isle of Man,Sandeels(=Sandlances) nei,"Atlantic, Northeast",Tonnes - live weight,-,1,1,0 0,0 0,0 0,0 0,-
"Korea, Republic of",Marine molluscs nei,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Iceland,Beaked redfish,"Atlantic, Northeast",Tonnes - live weight,28242,23804,11883,8675,9208,9072,9448,8377
Burundi,African bullhead,Africa - Inland waters,Tonnes - live weight,0 0,0 0,4,6,19,45,-,19
Croatia,Common eagle ray,Mediterranean and Black Sea,Tonnes - live weight,...,14,10,17,17,16,16,16
Un. Sov. Soc. Rep.,Kingklip,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
